block,floor,unit,unit_id,unit_type,parent_unit,verified,note
P2,9,902,P2-902,flat,,observed,
P2,9,903,P2-903,flat,,observed,
P2,9,904,P2-904,flat,,observed,
P2,9,905,P2-905,flat,,observed,
P2,9,906,P2-906,flat,,observed,
P2,9,907,P2-907,flat,,observed,
P2,9,908,P2-908,flat,,observed,
P2,9,909,P2-909,flat,,observed,
P2,9,910,P2-910,flat,,observed,
P2,9,911,P2-911,flat,,observed,
P2,9,912,P2-912,flat,,observed,
P2,9,913,P2-913,flat,,observed,
P2,9,914,P2-914,flat,,observed,fell in a screenshot scroll gap - unverified
P2,9,915,P2-915,flat,,observed,
P2,9,916,P2-916,flat,,observed,
P2,?,1007-SR,P2-1007-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,101-S,P2-101-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1010(S),P2-1010(S),servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,108-S,P2-108-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1101-S,P2-1101-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,112-SR,P2-112-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1208-SR,P2-1208-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1310-SR,P2-1310-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1507-SR,P2-1507-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1701-SR,P2-1701-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1707-S,P2-1707-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,1715-S,P2-1715-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,605-SR,P2-605-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,703-S,P2-703-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,810-SR,P2-810-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,814 S,P2-814 S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,816-SR,P2-816-SR,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,912-S,P2-912-S,servant_room,,observed,prefixed tail entry; 5 inconsistent SR notations
P2,?,Press,P2-Press,facility,,observed,
P2,10,1001,P2-1001,flat,,observed,
P2,10,1002,P2-1002,flat,,observed,
P2,10,1003,P2-1003,flat,,observed,
P2,10,1004,P2-1004,flat,,observed,
P2,10,1005,P2-1005,flat,,observed,
P2,10,1006,P2-1006,flat,,observed,
P2,10,1007,P2-1007,flat,,observed,
P2,10,1008,P2-1008,flat,,observed,
P2,10,1009,P2-1009,flat,,observed,
P2,10,1010,P2-1010,flat,,observed,
P2,10,1011,P2-1011,flat,,observed,
P2,10,1012,P2-1012,flat,,observed,
P2,10,1013,P2-1013,flat,,observed,
P2,10,1014,P2-1014,flat,,observed,
P2,10,1015,P2-1015,flat,,observed,fell in a screenshot scroll gap - unverified
P2,10,1016,P2-1016,flat,,observed,fell in a screenshot scroll gap - unverified
P2,11,1101,P2-1101,flat,,observed,fell in a screenshot scroll gap - unverified
P2,11,1102,P2-1102,flat,,observed,fell in a screenshot scroll gap - unverified
P2,11,1103,P2-1103,flat,,observed,fell in a screenshot scroll gap - unverified
P2,11,1104,P2-1104,flat,,observed,
P2,11,1105,P2-1105,flat,,observed,
P2,11,1106,P2-1106,flat,,observed,
P2,11,1107,P2-1107,flat,,observed,
P2,11,1108,P2-1108,flat,,observed,
P2,11,1109,P2-1109,flat,,observed,
P2,11,1110,P2-1110,flat,,observed,
P2,11,1111,P2-1111,flat,,observed,
P2,11,1112,P2-1112,flat,,observed,
P2,11,1113,P2-1113,flat,,observed,
P2,11,1114,P2-1114,flat,,observed,
P2,11,1115,P2-1115,flat,,observed,
P2,11,1116,P2-1116,flat,,observed,
P2,12,1201,P2-1201,flat,,observed,
P2,12,1202,P2-1202,flat,,observed,
P2,12,1203,P2-1203,flat,,observed,
P2,12,1204,P2-1204,flat,,observed,
P2,12,1205,P2-1205,flat,,observed,
